2026年8月5日更新,,,,,,,,,,,,,,,
変電所No,変電所名,電圧(一次)（kV）,電圧(二次)（kV）,台数,設備容量(100%×台数)[MW],運用容量値[MW],運用容量制約要因,予想潮流[MW],空き容量[MW],N-1電制適用可否,N-1電制適用可能量[MW],平常時出力制御の可能性,平常時出力制御が必要となりうる設備－当該設備,平常時出力制御が必要となりうる設備－上位系設備,備考
HSS001,中能登,500,275,3,2138,2138,熱容量,-1919,-,可,0,-,-,-,※２
HSS002,中能登,275,154,3,1045,998,熱容量,-761,-,可,47,-,-,-,※２※４
HSS003,新富山,275,154,4,1330,1045,熱容量,-1518,-,不可　♯４,-,有り,対象,"H104,H105",※３※４
HSS004,加賀,500,275,2,1900,1425,熱容量,-786,-,不可　♯１,-,-,-,-,※４
HSS005,加賀,275,154,4,1520,1520,熱容量,-562,-,可,0,-,-,-,※２※４
HSS006,東金津,275,77,2,380,285,熱容量,-110,-,可,95,-,-,-,
HSS007,新福井,275,154,4,1235,1235,熱容量,-990,-,可,0,-,-,-,※３※４
HSS008,越前,500,275,2,1900,1425,熱容量,-738,-,不可　♯１,-,-,-,-,※４
HSS009,越前,275,77,2,380,285,熱容量,-102,-,可,95,-,-,-,※４
HSS010,南条,275,154,2,760,380,熱容量,-96,-,可,250,-,-,-,
HSS011,敦賀火力,275,77,2,380,285,熱容量,2,-,可,95,-,-,-,※４
HSS012,黒部,154,66,2,285,214,熱容量,-118,-,可,71,有り,-,"H012,H026,H104,H105,HSS003",※４
HSS013,江口,154,66,2,333,190,熱容量,-42,-,可,143,有り,-,"H012,H026,H104,H105,HSS003",※２
HSS014,,154,66,1,,,熱容量,,-,,,有り,-,"H012,H026,H104,H105,HSS003",◇
HSS015,舟橋,154,66,2,380,285,熱容量,-132,-,可,95,有り,-,"H012,H026,H104,H105,HSS003",※４
HSS016,新中地山,154,66,1,53,53,熱容量,-52,-,不可　♯２,-,有り,-,"H012,H026,H104,H105,HSS003",※１
HSS017,和田一,11,3.3,1,1,1,熱容量,-,1,-,-,有り,-,"H012,H026,H104,H105,HSS003",※１●
HSS018,折立,3.3,3.3,2,1,1,熱容量,-,1,-,-,有り,-,"H012,H026,H104,H105,HSS003",●
HSS019,富山,154,66,2,380,190,熱容量,-107,-,可,190,有り,-,"H026,H104,H105,HSS003",※４
HSS020,富南,154,66,3,570,380,熱容量,51,-,可,190,有り,-,"H104,H105,HSS003",※２
HSS021,北笹津,154,66,2,285,214,熱容量,-175,-,可,71,有り,-,"H104,H105,HSS003",※４
HSS022,東町,11,6.9,2,36,22,熱容量,-,4,-,-,有り,-,"H104,H105,HSS003",●
HSS023,牧,154,6.6,1,6,6,熱容量,-,4,-,-,有り,-,"H104,H105,HSS003",※１●
HSS024,塚原,154,66,3,523,333,熱容量,-12,-,可,190,有り,-,"H104,H105,HSS003",※２
HSS025,南福岡,154,66,4,665,475,熱容量,-224,-,可,190,有り,-,"H104,H105,HSS003",※３
HSS026,伏木,154,66,3,475,285,熱容量,34,-,可,190,-,-,-,※４
HSS027,新能登,154,66,4,570,570,熱容量,-329,-,可,0,-,-,-,※３※４
HSS028,鳳至,154,66,2,285,214,熱容量,-158,-,可,71,有り,-,H040,※４
HSS029,北金沢,154,77,4,665,665,熱容量,48,-,可,0,-,-,-,※３※４
HSS030,御所,154,77,2,380,285,熱容量,-43,-,可,95,-,-,-,※４
HSS031,南金沢,154,77,4,760,760,熱容量,-47,-,可,0,-,-,-,※３
HSS032,新小松,154,77,3,523,499,熱容量,-27,-,可,24,-,-,-,※２※４
HSS033,北庄,154,77,2,333,190,熱容量,-147,-,可,143,有り,-,H053,※２※４
HSS034,松岡,154,77,2,380,285,熱容量,-41,-,可,95,-,-,-,※４
HSS035,丹生,154,77,2,380,285,熱容量,10,-,可,95,-,-,-,※４
HSS036,新武生,154,77,2,380,190,熱容量,25,-,可,190,-,-,-,※２
HSS037,新敦賀,154,77,2,238,95,熱容量,0,-,可,143,-,-,-,※４
HSS038,和泉,154,6.6,2,19,10,熱容量,-,9,-,-,-,-,-,●
HSS039,栃尾,154,66,1,11,11,熱容量,-11,-,不可　♯２,-,有り,対象,"H104,H105,HSS003",※１
