2026年8月5日更新,,,,,,,,,,,,,,,
変電所No,変電所名,電圧(一次)（kV）,電圧(二次)（kV）,台数,設備容量(100%×台数)[MW],運用容量値[MW],運用容量制約要因,予想潮流[MW],空き容量[MW],N-1電制適用可否,N-1電制適用可能量[MW],平常時出力制御の可能性,平常時出力制御が必要となりうる設備－当該設備,平常時出力制御が必要となりうる設備－上位系設備,備考
FSS001,金津,77,6.6,3,57,47,熱容量,-,7,-,-,－,-,-,●
FSS002,芦原,77,6.6,2,38,24,熱容量,-,1,-,-,－,-,-,●
FSS003,三国,77,6.6,2,38,24,熱容量,-,2,-,-,－,-,-,●
FSS004,臨港,77,6.6,3,57,47,熱容量,-,8,-,-,有り,-,H053,●
FSS005,丸岡,77,6.6,3,57,47,熱容量,-,15,-,-,－,-,-,●
FSS006,春江,77,6.6,3,57,47,熱容量,-,16,-,-,－,-,-,●
FSS007,西長田,77,6.6,2,38,24,熱容量,-,14,-,-,有り,-,H053,●
FSS008,北庄,77,6.6,2,38,24,熱容量,-,16,-,-,有り,-,H053,●
FSS009,松岡,77,6.6,2,38,24,熱容量,-,18,-,-,－,-,-,●
FSS010,山王,77,6.6,2,19,12,熱容量,-,3,-,-,－,-,-,●
FSS011,開発,77,6.6,3,76,59,熱容量,-,22,-,-,－,-,-,●
FSS012,東福井,77,6.6,3,67,47,熱容量,-,21,-,-,－,-,-,●
FSS013,中福井,77,6.6,2,57,35,熱容量,-,31,-,-,有り,-,H053,●
FSS014,北福井,77,6.6,3,67,47,熱容量,-,20,-,-,有り,-,H053,●
FSS015,春山,77,6.6,2,57,35,熱容量,-,31,-,-,有り,-,H053,●
FSS016,橋南,77,6.6,2,48,24,熱容量,-,21,-,-,有り,-,H053,●
FSS017,南福井,77,6.6,2,57,35,熱容量,-,29,-,-,有り,-,H053,●
FSS018,花堂,77,6.6,2,38,24,熱容量,-,21,-,-,有り,-,H053,●
FSS019,東郷,77,6.6,2,19,12,熱容量,-,6,-,-,－,-,-,●
FSS020,成和,77,6.6,2,38,24,熱容量,-,20,-,-,－,-,-,●
FSS021,小和清水,22,6.6,1,6,6,熱容量,-,4,-,-,－,-,-,●
FSS022,足羽77/6kV,77,6.6,1,10,10,熱容量,-,9,-,-,－,-,-,●
FSS023,勝山77/6kV,77,6.6,2,48,24,熱容量,-,18,-,-,－,-,-,●
FSS024,荒土,77,6.6,2,38,24,熱容量,-,20,-,-,－,-,-,●
FSS025,友江,77,6.6,2,38,24,熱容量,-,19,-,-,有り,-,F050,●
FSS026,大野,77,6.6,2,38,24,熱容量,-,16,-,-,有り,-,F050,●
FSS028,神明,77,6.6,3,67,47,熱容量,-,15,-,-,－,-,-,●
FSS029,新武生,77,6.6,2,38,24,熱容量,-,18,-,-,－,-,-,●
FSS030,鯖江,77,6.6,2,57,35,熱容量,-,28,-,-,－,-,-,●
FSS031,水落,77,6.6,2,38,24,熱容量,-,16,-,-,－,-,-,●
FSS032,西田中,77,6.6,3,57,47,熱容量,-,15,-,-,－,-,-,●
FSS033,織田77/6kV,77,6.6,1,10,10,熱容量,-,4,-,-,－,-,-,●
FSS034,織田77/22kV,77,22,2,33,18,熱容量,0,-,不可　#3,－,－,-,-,
FSS035,西武生,77,6.6,3,67,47,熱容量,-,19,-,-,－,-,-,●
FSS036,王子保,77,6.6,2,38,24,熱容量,-,17,-,-,－,-,-,●
FSS037,湯尾,77,6.6,2,29,12,熱容量,-,7,-,-,－,-,-,●
FSS038,粟田部77/6kV,77,6.6,2,38,24,熱容量,-,21,-,-,－,-,-,●
FSS039,,77,22,1,,,熱容量,,-,,,－,-,-,◇
FSS040,敦賀,77,6.6,3,57,47,熱容量,-,20,-,-,－,-,-,●
FSS041,西敦賀,77,6.6,2,38,24,熱容量,-,19,-,-,－,-,-,●
FSS042,南敦賀77/6kV,77,6.6,3,38,24,熱容量,-,19,-,-,－,-,-,●
FSS043,持越,22,6.6,1,6,6,熱容量,-,5,-,-,－,-,-,●
FSS044,蒲生,22,6.6,1,7,7,熱容量,-,7,-,-,－,-,-,●
FSS045,宮崎配電塔,22,6.6,1,6,6,熱容量,-,5,-,-,－,-,-,●
FSS046,白山配電塔,22,6.6,1,6,6,熱容量,-,4,-,-,－,-,-,●
FSS047,米ノ浦配電塔,22,6.6,1,6,6,熱容量,-,6,-,-,－,-,-,●
FSS048,四ツ杉配電塔,22,6.6,1,6,6,熱容量,-,6,-,-,－,-,-,●
FSS049,道口配電塔,22,6.6,1,6,6,熱容量,-,6,-,-,－,-,-,●
FSS050,足羽77/22kV,77,22,1,10,10,熱容量,-6,-,不可　#3,－,－,-,-,
FSS051,,11,6.6,1,,,熱容量,-,0,-,-,有り,-,F050,◇●
FSS052,,11,77,1,,,熱容量,,-,,,有り,-,F050,◇
FSS053,,6.6,3.3,1,,,熱容量,-,0,-,-,－,-,-,◇●
FSS054,,6.6,77,1,,,熱容量,-,0,-,-,－,-,-,◇●
FSS055,,6.6,6.6,1,,,熱容量,-,0,-,-,－,-,-,◇●
FSS056,,6.6,77,1,,,熱容量,-,0,-,-,－,-,-,◇●
FSS057,,11,3.3,1,,,熱容量,-,0,-,-,－,-,-,◇●
FSS058,,11,77,1,,,熱容量,,-,,,－,-,-,◇
FSS059,,11,3.3,1,,,熱容量,-,0,-,-,－,-,-,◇●
FSS060,,11,77,1,,,熱容量,,-,,,－,-,-,◇
FSS061,,77,22,1,,,熱容量,,-,,,－,-,-,◇
FSS062,,77,33,1,,,熱容量,,-,,,－,－,-,◇
