2026年8月1日更新,,,,,,,,,,,,,,,,,,,,,,,,,,
変電所No,変電所名,電圧(一次)（kV）,電圧(二次)（kV）,台数,設備容量(100%×台数)(MW),運用容量値(MW),運用容量制約要因,予想潮流(MW),空容量(当該設備)(MW),空容量(上位系等考慮)(MW),N-1電制適用可否,N-1電制適用可能量(MW),平常時出力制御の可能性,平常時出力制御の可能性がある設備(当該設備),平常時出力制御の可能性がある設備(上位系設備),備考,,,,,,,,,,
2,川内変電所,500,187,2,"1,425 ",784 ,熱容量,－,－,－,不可♯1,－,－,－,－,※３,,,,,,,,,,
3,東予変電所,500,187,1,713 ,713 ,熱容量,-453,－,－,不可♯1,－,－,－,－,※１,,,,,,,,,,
4,讃岐変電所,500,187,2,"1,425 ",784 ,熱容量,-386,－,－,不可♯1,－,－,－,－,※３,,,,,,,,,,
5,阿波変電所,500,187,2,"1,425 ",784 ,熱容量,-262,－,－,不可♯1,－,－,－,－,※３,,,,,,,,,,
8,国府変電所,187,66,2,570,313,熱容量,-345,－,－,可,225,有り,対象,－,※３,,,,,,,,,,
9,鳴門変電所,187,66,2,570,313,熱容量,-270,－,－,可,250,－,－,－,※３,,,,,,,,,,
10,阿南火力変電所,187,66,3,390,251,熱容量,-307,－,－,可,83,有り,対象,－,※３,,,,,,,,,,
11,蔭平変電所,187,66,1,38,38,熱容量,－,－,－,不可♯4,－,有り,対象,－,※１,,,,,,,,,,
12,井川変電所,187,66,2,237,151,熱容量,-227,－,－,可,10,有り,対象,－,※３,,,,,,,,,,
13,高知変電所,187,66,2,570,327,熱容量,-255,－,－,可,243,－,－,－,※３,,,,,,,,,,
,,,110,1,190,190,熱容量,-171,－,－,不可♯4,－,－,－,－,※１,,,,,,,,,,
14,新改変電所,187,66,3,446,294,熱容量,-325,－,－,可,121,有り,対象,－,*1、※３,,,,,,,,,,
15,奈半利川変電所,187,66,2,152,65,熱容量,0,－,－,可,87,－,－,－,*1、※３,,,,,,,,,,
19,松山変電所,187,66,2,570,327,熱容量,-62,－,－,可,243,－,－,－,*3、※３,,,,,,,,,,
20,北松山変電所,187,66,2,570,313,熱容量,-137,－,－,可,250,－,－,－,※３,,,,,,,,,,
21,大洲変電所,187,66,2,332,163,熱容量,-219,－,－,可,113,有り,対象,－,※３,,,,,,,,,,
22,広見変電所,187,66,2,380,190,熱容量,-366,－,－,可,0,有り,対象,－,※３,,,,,,,,,,
23,壬生川変電所,187,66,3,522,351,熱容量,-211,－,－,可,171,有り,－,基送17,※３,,,,,,,,,,
24,西条火力変電所,187,66,2,285,151,熱容量,-27,－,－,可,134,有り,－,基送17,※３,,,,,,,,,,
25,西条変電所,187,66,2,237,104,熱容量,-138,－,－,可,99,－,－,－,※３,,,,,,,,,,
26,三島変電所,187,66,3,522,365,熱容量,-204,－,－,可,157,－,－,－,※３,,,,,,,,,,
27,高松変電所,187,66,3,855,655,熱容量,-250,－,－,可,200,－,－,－,※３,,,,,,,,,,
28,香川変電所,187,66,3,570,320,熱容量,-240,－,－,可,250,有り,－,基送27，28，29,*2、※３,,,,,,,,,,
29,大川変電所,187,66,1,190,190,熱容量,-180,－,－,不可♯4,－,－,－,－,※１,,,,,,,,,,
30,麻変電所,187,66,3,760,532,熱容量,-203,－,－,可,228,－,－,－,※３,,,,,,,,,,
31,坂出火力変電所,187,66,2,285,156,熱容量,-295,－,－,可,0,有り,対象,基送27，28，29,※３,,,,,,,,,,
*1 2028年11月以降の想定を記載しており、それ以前は記載内容と異なる場合があります。また、今後の電源連系等に伴い変更となる場合があります。,,,,,,,,,,,,,,,,,,,,,,,,,,
*2 2030年3月以降の想定を記載しており、それ以前は記載内容と異なる場合があります。また、今後の電源連系等に伴い変更となる場合があります。,,,,,,,,,,,,,,,,,,,,,,,,,,
*3 2026年10月以降の想定を記載しており、それ以前は記載内容と異なる場合があります。また、今後の電源連系等に伴い変更となる場合があります。,,,,,,,,,,,,,,,,,,,,,,,,,,
