2026年8月1日更新,,,,,,,,,,,,,,,,
変電所No,変電所名,電圧(一次)（kV）,電圧(二次)（kV）,台数,設備容量(100%×台数)(MW),運用容量値(MW),運用容量制約要因,予想潮流(MW),空容量(当該設備)(MW),空容量(上位系等考慮)(MW),N-1電制適用可否,N-1電制適用可能量(MW),平常時出力制御の可能性,平常時出力制御の可能性がある設備(当該設備),平常時出力制御の可能性がある設備(上位系設備),備考
5,壬生川変電所,66,6,2,28,28,熱容量,－,20,－,不可 #3,－,有り,－,基送17,●
9,番町変電所,66,6,2,57,57,熱容量,－,57,－,不可 #3,－,－,－,－,●
9,番町変電所,66,22,1,19,19,熱容量,4,－,－,不可 #3,－,－,－,－,
10,春日変電所,66,6,3,66,66,熱容量,－,66,－,不可 #3,－,－,－,－,●
11,枝松変電所,66,6,2,57,57,熱容量,－,53,－,不可 #3,－,－,－,－,●
12,石井変電所,66,6,3,76,76,熱容量,－,75,－,不可 #3,－,－,－,－,●
13,八倉変電所,66,6,1,19,19,熱容量,－,15,－,不可 #3,－,－,－,－,●
14,原町変電所,66,6,2,38,38,熱容量,－,19,－,不可 #3,－,－,－,－,●
15,郡中変電所,66,6,3,47,47,熱容量,－,42,－,不可 #3,－,－,－,－,●
16,松前変電所,66,6,2,38,38,熱容量,－,31,－,不可 #3,－,－,－,－,●
16,松前変電所,66,22,1,14,14,熱容量,2,－,－,不可 #3,－,－,－,－,
17,鷹子変電所,66,6,3,57,57,熱容量,－,53,－,不可 #3,－,－,－,－,●
18,重信変電所,66,6,3,52,52,熱容量,－,38,－,不可 #3,－,－,－,－,●
19,湯山変電所,66,6,1,9,9,熱容量,－,0,－,不可 #3,－,－,－,－,●
20,道後変電所,66,6,2,47,47,熱容量,－,47,－,不可 #3,－,－,－,－,●
21,平田変電所,66,6,2,57,57,熱容量,－,49,－,不可 #3,－,－,－,－,●
22,三津変電所,66,6,2,23,23,熱容量,－,23,－,不可 #3,－,－,－,－,●
22,三津変電所,66,22,1,－,－,熱容量,－,－,－,－,－,－,－,－,◇
23,衣山変電所,66,6,3,76,76,熱容量,－,76,－,不可 #3,－,－,－,－,●
24,吉田浜変電所,66,6,3,47,47,熱容量,－,40,－,不可 #3,－,－,－,－,●
24,吉田浜変電所,66,22,1,－,－,熱容量,－,－,－,－,－,－,－,－,◇
25,勝岡変電所,66,6,2,28,28,熱容量,－,20,－,不可 #3,－,－,－,－,●
25,勝岡変電所,66,22,1,9,9,熱容量,0,－,－,不可 #3,－,－,－,－,
26,竹原変電所,66,6,3,57,57,熱容量,－,57,－,不可 #3,－,－,－,－,●
26,竹原変電所,66,22,2,－,－,熱容量,－,－,－,－,－,－,－,－,◇
27,柳井田変電所,66,6,3,52,52,熱容量,－,45,－,不可 #3,－,－,－,－,●
28,北条変電所,66,6,2,33,33,熱容量,－,14,－,不可 #3,－,－,－,－,●
28,北条変電所,66,22,2,19,9.5,熱容量,-7,－,－,不可 #3,－,－,－,－,
29,八幡浜変電所,66,6,3,38,38,熱容量,－,37,－,不可 #3,－,有り,－,基変21,●
30,保内変電所,66,6,2,28,28,熱容量,－,27,－,不可 #3,－,有り,－,"基変21,送61",● 増強計画考慮（2027/4運開予定）
31,亀浦変電所,66,6,2,21,21,熱容量,－,21,－,不可 #3,－,有り,－,"基変21,送61,63",●
32,大久変電所,66,6,2,19,19,熱容量,－,7,－,不可 #3,－,有り,－,"基変21,送61.63,64,65,67,68,69",●
33,三瓶変電所,66,6,2,16,16,熱容量,－,15,－,不可 #3,－,有り,－,基変21,●
34,卯之町変電所,66,6,3,33,33,熱容量,－,19,－,不可 #3,－,有り,－,基変21,●
34,卯之町変電所,66,22,1,－,－,熱容量,－,－,－,－,－,有り,－,基変21,◇
35,内子変電所,66,6,2,28,28,熱容量,－,26,－,不可 #3,－,有り,－,"基変21,送85",●
36,小田変電所,66,6,2,21,21,熱容量,－,19,－,不可 #3,－,有り,－,"基変21,送85",● 増強計画考慮（2028/6運開予定）
37,横林変電所,66,6,1,9,9,熱容量,－,9,－,不可 #3,－,有り,－,"基変21,送85",●
38,惣川変電所,66,6,1,2,2,熱容量,－,1,－,不可 #3,－,有り,－,"基変21,送85",●
39,徳森変電所,66,6,1,14,14,熱容量,－,14,－,不可 #3,－,有り,－,基変21,●
40,若宮変電所,66,6,3,47,47,熱容量,－,47,－,不可 #3,－,有り,－,基変21,●
41,長浜変電所,66,6,2,23,23,熱容量,－,19,－,不可 #3,－,有り,－,基変21,●
42,宇和島変電所,66,6,2,23,23,熱容量,－,22,－,不可 #3,－,有り,－,基変22,●
43,大浦変電所,66,6,2,38,38,熱容量,－,38,－,不可 #3,－,有り,－,基変22,●
44,吉田変電所,66,6,2,14,14,熱容量,－,13,－,不可 #3,－,有り,－,基変22,●
45,野村変電所,66,6,2,19,19,熱容量,－,15,－,不可 #3,－,有り,－,基変22,●
46,山際変電所,66,6,2,38,38,熱容量,－,35,－,不可 #3,－,有り,－,基変22,●
47,岩松変電所,66,6,2,16,16,熱容量,－,8,－,不可 #3,－,有り,－,基変22,●
47,岩松変電所,66,22,1,4,4,熱容量,0,－,－,不可 #3,－,有り,－,基変22,
48,御荘変電所,66,6,3,42,42,熱容量,－,23,－,不可 #3,－,有り,－,"基変22,送109,111,112,113",●
48,御荘変電所,66,22,1,9,9,熱容量,-9,－,－,不可 #3,－,有り,－,"基変22,送109,111,112,113",
49,出目変電所,66,6,2,28,28,熱容量,－,9,－,不可 #3,－,有り,－,基変22,●
49,出目変電所,66,22,1,4,4,熱容量,-1,－,－,不可 #3,－,有り,－,基変22,
50,今治変電所,66,6,2,38,38,熱容量,－,19,－,不可 #3,－,有り,－,基送17,●
50,今治変電所,66,22,1,9,9,熱容量,-6,－,－,不可 #3,－,有り,－,基送17,
51,朝倉北変電所,66,6,1,9,9,熱容量,－,0,－,不可 #3,－,有り,－,基送17,●
52,富田変電所,66,6,3,38,38,熱容量,－,20,－,不可 #3,－,有り,－,基送17,●
53,多賀変電所,66,6,2,33,33,熱容量,－,17,－,不可 #3,－,有り,－,基送17,●
53,多賀変電所,66,22,1,－,－,熱容量,－,－,－,－,－,有り,－,基送17,◇
54,丹原変電所,66,6,2,33,33,熱容量,－,8,－,不可 #3,－,有り,－,基送17,●
54,丹原変電所,66,22,1,－,－,熱容量,－,－,－,－,－,有り,－,基送17,◇
55,浅川変電所,66,6,2,38,38,熱容量,－,37,－,不可 #3,－,有り,－,基送17,●
56,波止浜変電所,66,6,3,30,30,熱容量,－,25,－,不可 #3,－,有り,－,基送17,●
56,波止浜変電所,66,22,2,23,13,熱容量,0,－,－,不可 #3,－,有り,－,基送17,
57,泉川変電所,66,6,2,28,28,熱容量,－,8,－,不可 #3,－,有り,－,基送17,●
58,枝堀変電所,66,6,2,33,33,熱容量,－,33,－,不可 #3,－,有り,－,基送17,●
58,枝堀変電所,66,22,1,－,－,熱容量,－,－,－,－,－,有り,－,基送17,◇
59,亀岡変電所,66,6,2,28,28,熱容量,－,16,－,不可 #3,－,有り,－,基送17,●
59,亀岡変電所,66,22,1,9,9,熱容量,0,－,－,不可 #3,－,有り,－,基送17,
60,鈍川変電所,22,6,1,9,9,熱容量,－,4,－,不可 #3,－,有り,－,基送17,●
61,ひうち変電所,66,6,3,47,47,熱容量,－,26,－,不可 #3,－,有り,－,基送17,●
61,ひうち変電所,66,22,1,－,－,熱容量,－,－,－,－,－,有り,－,基送17,◇
62,喜多川変電所,66,6,2,28,28,熱容量,－,18,－,不可 #3,－,有り,－,基送17,●
62,喜多川変電所,66,22,1,－,－,熱容量,－,－,－,－,－,有り,－,基送17,◇
63,中野変電所,66,6,2,33,33,熱容量,－,17,－,不可 #3,－,有り,－,基送17,●
63,中野変電所,66,22,1,－,－,熱容量,－,－,－,－,－,有り,－,基送17,◇
64,政枝変電所,66,6,3,47,47,熱容量,－,17,－,不可 #3,－,有り,－,－,●
64,政枝変電所,66,22,1,－,－,熱容量,－,－,－,－,－,有り,－,－,◇
65,新居浜変電所,66,6,3,47,47,熱容量,－,25,－,不可 #3,－,有り,－,－,●
66,東雲変電所,66,6,3,52,52,熱容量,－,46,－,不可 #3,－,有り,－,－,●増強計画考慮(2027/11運開予定)
67,多喜浜変電所,66,6,2,33,33,熱容量,－,17,－,不可 #3,－,有り,－,－,●
67,多喜浜変電所,66,22,1,－,－,熱容量,－,－,－,－,－,有り,－,－,◇
68,土居変電所,66,6,2,28,28,熱容量,－,6,－,不可 #3,－,有り,－,－,●
68,土居変電所,66,22,2,15,5 ,熱容量,0,－,－,不可 #3,－,有り,－,－,
70,朝日町変電所,66,6,3,47,47,熱容量,－,23,－,不可 #3,－,－,－,－,●
70,朝日町変電所,66,22,1,－,－,熱容量,－,－,－,－,－,－,－,－,◇
71,川之江変電所,66,6,3,47,47,熱容量,－,42,－,不可 #3,－,－,－,－,●
71,川之江変電所,66,22,1,16,16,熱容量,0,－,－,不可 #3,－,－,－,－,
72,新宮変電所,66,6,1,4,4,熱容量,－,4,－,不可 #3,－,－,－,－,●
73,浜田変電所,66,6,3,57,57,熱容量,－,48,－,不可 #3,－,－,－,－,●
74,寒川変電所,66,6,3,42,42,熱容量,－,33,－,不可 #3,－,－,－,－,●
75,柳瀬変電所,66,6,1,4,4,熱容量,－,4,－,不可 #3,－,－,－,－,●
75,柳瀬変電所,66,22,1,－,－,熱容量,－,－,－,－,－,－,－,－,◇
76,面河第一変電所,66,6,1,7,7,熱容量,－,1,－,不可 #3,－,有り,－," 送196,高知送33,34",●
77,第五黒川変電所,66,6,1,1,1,熱容量,－,1,－,不可 #3,－,有り,－," 送196,高知送33,34",●
78,中島配電塔,22,6,2,5,5,熱容量,－,1,－,不可 #3,－,－,－,－,●
79,興居島配電塔,22,6,1,5,5,熱容量,－,5,－,不可 #3,－,－,－,－,●
80,宇和海配電塔,22,6,1,4,4,熱容量,－,0,－,不可 #3,－,有り,－,基変22,●
81,一本松配電塔,22,6,1,5,5,熱容量,－,0,－,不可 #3,－,有り,－,"基変22,送109,111,112,113",●
82,一本松第二配電塔,22,6,1,5,5,熱容量,－,0,－,不可 #3,－,有り,－,"基変22,送109,111,112,113",●
,,,,,,,,,,,,,,,,
