"2026年08月14日更新"
"変電所No","変電所名","一次 電圧（kV）","二次 電圧（kV）","台数","設備容量（100%×台数）","運用容量値（MW）","運用容量制約要因","予想潮流","当該設備 空容量（MW）","上位系等考慮 空容量（MW）","N-1電制適用可否","N-1電制適用可能量","平常時出力制御の可能性","当該設備 平常時出力制御の可能性がある設備","上位系設備 平常時出力制御の可能性がある設備","備　考"
"北A","木代","77","22","1","28","28","熱容量","-23","ー","ー","不可 ＃１","－","ー","ー","ー","※１"
"北C","松が丘","77","6.6","2","19","19","熱容量","－","8","8","不可 ＃２","－","ー","ー","ー","※１"
"北D","真上町","77","6.6","2","38","38","熱容量","－","18","18","不可 ＃２","－","ー","ー","ー","※１"
"北E","阿武野","77","6.6","3","52","52","熱容量","－","14","14","不可 ＃２","－","ー","ー","ー","※１"
"北G","水無瀬","77","6.6","2","38","38","熱容量","－","19","19","不可 ＃２","－","ー","ー","ー","※１"
"北H","富田","77","6.6","3","57","57","熱容量","－","19","19","不可 ＃２","－","ー","ー","ー","※１"
"北H","富田","77","22","2","85","47","熱容量","2","ー","ー","可","38","ー","ー","ー","※３"
"北I","上牧","77","6.6","3","28","28","熱容量","－","9","9","不可 ＃２","－","ー","ー","ー","※１"
"北I","上牧","77","22","2","57","57","熱容量","2","ー","ー","不可 ＃１","－","ー","ー","ー","※１"
"北J","高槻","77","6.6","3","57","57","熱容量","－","19","19","不可 ＃２","－","ー","ー","ー","※１"
"北J","高槻","77","22","3","85","85","熱容量","3","ー","ー","不可 ＃１","－","ー","ー","ー","※１"
"北K","芥川","77","6.6","2","38","38","熱容量","－","19","19","不可 ＃２","－","ー","ー","ー","※１"
"北L","東天川","77","6.6","3","47","47","熱容量","－","14","14","不可 ＃２","－","ー","ー","ー","※１"
"北M","西天川","77","6.6","2","38","38","熱容量","－","19","19","不可 ＃２","－","ー","ー","ー","※１"
"北N","五百住","77","6.6","2","33","33","熱容量","－","14","14","不可 ＃２","－","ー","ー","ー","※１"
"北O","如是","77","6.6","3","47","47","熱容量","－","14","14","不可 ＃２","－","ー","ー","ー","※１"
"北P","茨木","77","6.6","3","47","47","熱容量","－","9","9","不可 ＃２","－","ー","ー","ー","※１"
"北Q","春日","77","6.6","2","38","38","熱容量","－","19","19","不可 ＃２","－","ー","ー","ー","※１"
"北R","下穂積","77","6.6","2","38","38","熱容量","－","19","19","不可 ＃２","－","ー","ー","ー","※１"
"北R","下穂積","77","22","2","57","57","熱容量","-7","ー","ー","不可 ＃１","－","ー","ー","ー","※１"
"北S","南茨木","77","6.6","2","38","38","熱容量","－","19","19","不可 ＃２","－","ー","ー","ー","※１"
"北T","山田","77","6.6","3","47","47","熱容量","－","14","14","不可 ＃２","－","ー","ー","ー","※１"
"北T","山田","77","22","2","85","85","熱容量","9","ー","ー","不可 ＃１","－","ー","ー","ー","※１"
"北U","千里丘","77","6.6","3","64","64","熱容量","－","17","17","不可 ＃２","－","ー","ー","ー","※１"
"北U","千里丘","77","22","2","57","57","熱容量","-1","ー","ー","不可 ＃１","－","ー","ー","ー","※１"
"北V","小野原","77","6.6","2","54","54","熱容量","－","26","26","不可 ＃２","－","ー","ー","ー","※１"
"北W","西宿","77","6.6","3","57","57","熱容量","－","19","19","不可 ＃２","－","ー","ー","ー","※１"
"北X","上新田","77","6.6","2","38","38","熱容量","－","19","19","不可 ＃２","－","ー","ー","ー","※１"
"北Y","稲","77","6.6","2","38","38","熱容量","－","19","19","不可 ＃２","－","ー","ー","ー","※１"
"北Z","桜ヶ丘","77","6.6","2","38","38","熱容量","－","19","19","不可 ＃２","－","ー","ー","ー","※１"
"北AA","渋谷","77","6.6","2","38","38","熱容量","－","19","19","不可 ＃２","－","ー","ー","ー","※１"
"北AB","箕面","77","6.6","2","38","38","熱容量","－","19","19","不可 ＃２","－","ー","ー","ー","※１"
"北AC","石橋","77","6.6","3","41","41","熱容量","－","9","9","不可 ＃２","－","ー","ー","ー","※１"
"北AC","石橋","77","22","2","57","31","熱容量","8","ー","ー","可","26","ー","ー","ー","※３"
"北AD","刀根山","77","6.6","3","57","57","熱容量","－","19","19","不可 ＃２","－","ー","ー","ー","※１"
"北AE","北豊中","77","6.6","2","33","33","熱容量","－","14","14","不可 ＃２","－","ー","ー","ー","※１"
"北AF","池田","77","6.6","2","38","38","熱容量","－","19","0","不可 ＃２","－","有","ー","対象","※１"
"北AG","熊野","77","6.6","2","38","38","熱容量","－","19","19","不可 ＃２","－","ー","ー","ー","※１"
"北AG","熊野","77","22","2","57","57","熱容量","4","ー","ー","不可 ＃１","－","ー","ー","ー","※１"
"北AI","長興寺","77","6.6","2","47","47","熱容量","－","23","23","不可 ＃２","－","ー","ー","ー","※１"
"北AJ","佐井寺","77","6.6","3","52","52","熱容量","－","14","14","不可 ＃２","－","ー","ー","ー","※１"
"北AK","岸部","77","6.6","2","38","38","熱容量","－","19","19","不可 ＃２","－","ー","ー","ー","※１"
"北AL","山手町","77","6.6","2","38","38","熱容量","－","19","19","不可 ＃２","－","ー","ー","ー","※１"
"北AM","西千里","77","6.6","2","38","38","熱容量","－","19","19","不可 ＃２","－","ー","ー","ー","※１"
"北AN","楠葉","77","6.6","2","38","38","熱容量","－","19","17","不可 ＃２","－","ー","ー","ー","※１"
"北AO","招提","77","6.6","3","47","47","熱容量","－","9","9","不可 ＃２","－","ー","ー","ー","※１"
"北AP","牧野","77","6.6","2","23","23","熱容量","－","9","9","不可 ＃２","－","ー","ー","ー","※１"
"北AP","牧野","77","22","2","57","31","熱容量","4","ー","ー","可","26","ー","ー","ー","※３"
"北AQ","田口","77","6.6","2","36","36","熱容量","－","16","16","不可 ＃２","－","ー","ー","ー","※１"
"北AR","長尾","77","6.6","2","38","38","熱容量","－","17","17","不可 ＃２","－","ー","ー","ー","※１"
"北AS","長尾元町","77","6.6","2","38","38","熱容量","－","19","19","不可 ＃２","－","ー","ー","ー","※１"
"北AT","津田","77","6.6","3","47","47","熱容量","－","9","9","不可 ＃２","－","ー","ー","ー","※１"
"北AT","津田","77","22","2","57","57","熱容量","-2","ー","ー","不可 ＃１","－","ー","ー","ー","※１"
"北AU","中宮","77","6.6","2","38","38","熱容量","－","19","19","不可 ＃２","－","ー","ー","ー","※１"
"北AV","洞ヶ峠","77","6.6","2","38","38","熱容量","－","18","18","不可 ＃２","－","ー","ー","ー","※１"
"北AW","郡津東","77","6.6","3","57","57","熱容量","－","19","0","不可 ＃２","－","有","ー","対象","※１"
"北AX","禁野","77","6.6","3","33","33","熱容量","－","9","9","不可 ＃２","－","ー","ー","ー","※１"
"北AY","南枚方","77","6.6","2","38","38","熱容量","－","19","0","不可 ＃２","－","有","ー","対象","※１"
"北AY","南枚方","77","22","2","57","57","熱容量","5","ー","ー","不可 ＃１","－","有","ー","対象","※１"
"北AZ","中振","77","6.6","2","38","38","熱容量","－","19","0","不可 ＃２","－","有","ー","対象","※１"
"北BA","茄子作","77","6.6","2","28","28","熱容量","－","9","0","不可 ＃２","－","有","ー","対象","※１"
"北BB","唐崎","77","6.6","2","38","38","熱容量","－","19","19","不可 ＃２","－","ー","ー","ー","※１"
"北BB","唐崎","77","22","2","57","57","熱容量","-6","ー","ー","不可 ＃１","－","ー","ー","ー","※１"
"北BC","光善寺","77","6.6","3","42","42","熱容量","－","7","7","不可 ＃２","－","ー","ー","ー","※１"
"北BD","目垣","77","6.6","1","19","19","熱容量","－","17","17","不可 ＃２","－","ー","ー","ー","※１"
"北BE","真砂","77","6.6","2","38","38","熱容量","－","19","19","不可 ＃２","－","ー","ー","ー","※１"
"北BF","沢良宜","77","6.6","3","45","45","熱容量","－","12","12","不可 ＃２","－","ー","ー","ー","※１"
"北BG","鳥飼","77","6.6","3","66","66","熱容量","－","19","19","不可 ＃２","－","ー","ー","ー","※１"
"北BH","正雀","77","6.6","2","36","36","熱容量","－","17","17","不可 ＃２","－","ー","ー","ー","※１"
"北BI","味生","77","6.6","2","36","36","熱容量","－","17","17","不可 ＃２","－","ー","ー","ー","※１"
"北BI","味生","77","22","2","57","57","熱容量","-9","ー","ー","不可 ＃１","－","ー","ー","ー","※１"
"北BJ","香里","77","6.6","3","57","57","熱容量","－","19","0","不可 ＃２","－","有","ー","対象","※１"
"北BJ","香里","77","22","2","28","15","熱容量","0","ー","ー","可","13","有","ー","対象","※３"
"北BK","三井","77","6.6","2","38","38","熱容量","－","19","0","不可 ＃２","－","有","ー","対象","※１"
"北BL","豊野","77","6.6","2","38","38","熱容量","－","19","0","不可 ＃２","－","有","ー","対象","※１"
"北BM","下池田","77","6.6","2","45","45","熱容量","－","17","0","不可 ＃２","－","有","ー","対象","※１"
"北BN","平池","77","6.6","2","36","36","熱容量","－","17","0","不可 ＃２","－","有","ー","対象","※１"
"北BO","交野","77","6.6","3","55","55","熱容量","－","17","0","不可 ＃２","－","有","ー","対象","※１"
"北BP","星田","77","6.6","1","19","19","熱容量","－","18","0","不可 ＃２","－","有","ー","対象","※１"
"北BQ","寝屋川","77","6.6","2","38","38","熱容量","－","19","0","不可 ＃２","－","有","ー","対象","※１"
"北BQ","寝屋川","77","22","2","57","57","熱容量","2","ー","ー","不可 ＃１","－","有","ー","対象","※１"
"北BR","四条畷","77","6.6","2","38","38","熱容量","－","19","0","不可 ＃２","－","有","ー","対象","※１"
"北BS","砂","77","6.6","2","38","38","熱容量","－","19","0","不可 ＃２","－","有","ー","対象","※１"
"北BT","神田","77","6.6","2","33","33","熱容量","－","14","14","不可 ＃２","－","ー","ー","ー","※１"
"北BU","大庭","77","6.6","3","38","38","熱容量","－","9","9","不可 ＃２","－","ー","ー","ー","※１"
"北BV","大和田","77","6.6","2","38","38","熱容量","－","19","19","不可 ＃２","－","ー","ー","ー","※１"
"北BW","藤田","77","6.6","2","38","38","熱容量","－","19","19","不可 ＃２","－","ー","ー","ー","※１"
"北BX","浜町","77","6.6","3","33","33","熱容量","－","9","9","不可 ＃２","－","ー","ー","ー","※１"
"北BY","八雲","77","6.6","2","34","34","熱容量","－","17","17","不可 ＃２","－","ー","ー","ー","※１"
"北BZ","橋波","77","22","3","85","85","熱容量","15","ー","ー","不可 ＃１","－","ー","ー","ー","※１"
"北CA","守口","77","6.6","2","47","47","熱容量","－","19","19","不可 ＃２","－","ー","ー","ー","※１"
"北CB","速見","77","6.6","2","38","38","熱容量","－","19","19","不可 ＃２","－","ー","ー","ー","※１"
"北CC","寺方","77","6.6","3","41","41","熱容量","－","9","9","不可 ＃２","－","ー","ー","ー","※１"
"北CD","旭東","77","6.6","3","45","45","熱容量","－","13","13","不可 ＃２","－","ー","ー","ー","※１"
"北CE","島頭","77","6.6","2","36","36","熱容量","－","17","0","不可 ＃２","－","有","ー","対象","※１"
"北CF","北島橋","77","6.6","3","66","66","熱容量","－","19","19","不可 ＃２","－","ー","ー","ー","※１"
"北CG","茨田","77","6.6","3","76","76","熱容量","－","19","19","不可 ＃２","－","ー","ー","ー","※１"
"北CH","茨田浜","77","6.6","3","53","53","熱容量","－","17","17","不可 ＃２","－","ー","ー","ー","※１"
"北CH","茨田浜","77","22","2","28","28","熱容量","0","ー","ー","不可 ＃１","－","ー","ー","ー","※１"
"北CI","末広","77","6.6","2","57","57","熱容量","－","28","28","不可 ＃２","－","ー","ー","ー","※１"
"北CJ","瑞光","77","6.6","2","38","38","熱容量","－","19","19","不可 ＃２","－","ー","ー","ー","※１"
"北CK","小松","77","6.6","2","47","47","熱容量","－","19","19","不可 ＃２","－","ー","ー","ー","※１"
