"2026年08月14日更新"
"変電所No","変電所名","一次 電圧（kV）","二次 電圧（kV）","台数","設備容量(100%×台数)","運用容量値(MW)","運用容量制約要因","予想潮流値（MW）","当該設備 空容量（MW）","上位系等考慮 空容量（MW）","N-1電制適用可否","N-1電制適用可能量","平常時出力制御の可能性","当該設備 平常時出力制御の可能性がある設備","上位系設備 平常時出力制御の可能性がある設備","備　考"
"Ａ","西播","500","275","3","2850","2850","熱容量","-583","-","-","不可　＃３","-","有","ー","対象","※２、５"
"Ｂ","北摂","500","275","3","2850","2850","熱容量","-3168","-","-","不可　＃３","-","有","対象","対象","※２、５"
"Ｃ","猪名川","500","275","3","2850","2850","熱容量","-2485","-","-","不可　＃３","-","有","ー","対象","※２、５"
"Ｄ","新綾部","500","275","2","1900","1425","熱容量","-317","-","-","可","475","有","ー","対象","※５"
"Ｅ","嶺南","500","275","3","2850","2850","熱容量","-2403","-","-","不可　＃３","-","ー","ー","ー","※２、５"
"Ｆ","西京都","500","275","3","2850","2850","熱容量","216","-","-","不可　＃３","-","ー","ー","ー","※２、５"
"Ｇ","南京都","500","275","3","2850","2850","熱容量","-1714","-","-","不可　＃３","-","ー","ー","ー","※２、５"
"Ｈ","新生駒","500","275","2","1900","1425","熱容量","-1552","-","-","可","475","有","対象","ー","※５"
"Ｉ","紀の川","500","275","3","2850","2850","熱容量","-270","-","-","不可　＃３","-","ー","ー","ー","※２、５"
"Ｊ","能勢","500","275","2","2850","2137","熱容量","-320","-","-","可","713","ー","ー","ー","※５"
"Ｋ","金剛","500","275","2","1900","1425","熱容量","-1085","-","-","可","475","ー","ー","ー","※５"
"Ｌ","猪名川","500","154","2","1425","1068","熱容量","-122","-","-","不可 ＃３","－","有","ー","対象","※２、５"
"Ｍ","西京都","500","154","2","1425","1068","熱容量","140","-","-","可","357","ー","ー","ー","※５"
"Ｎ","南京都","500","154","3","2137","2137","熱容量","26","-","-","不可　＃３","-","ー","ー","ー","※２、５"
