行,変電所名,都道府県,結果,緯度,経度,OSM側の名称
791,新地変電所,,一致(全国)だが東北エリア外のため不採用,,,新地変電所
792,東福島変電所,,一致なし,,,
793,510変電所,山形県,一致なし,,,
794,6G01変電所,福島県,一致なし,,,
795,6H01変電所,福島県,一致なし,,,
796,6J03変電所,福島県,一致なし,,,
797,6J04変電所,福島県,一致なし,,,
798,6J05変電所,福島県,一致なし,,,
799,717変電所,新潟県,一致なし,,,
800,7K03変電所,新潟県,一致なし,,,
801,下田変電所,新潟県,一致なし,,,
802,亀塚浜変電所,新潟県,一致なし,,,
803,仙南変電所,宮城県,一致なし,,,
804,大仙変電所,秋田県,一致なし,,,
805,大崎変電所,宮城県,一致なし,,,
806,大所変電所,新潟県,一致なし,,,
808,小国町変電所,新潟県,一致なし,,,
809,平田変電所,福島県,一致なし,,,
810,日和田変電所,福島県,一致なし,,,
811,泉変電所,宮城県,一致なし,,,
812,泉崎変電所,福島県,一致なし,,,
813,浅貝変電所,新潟県,一致(新潟県),36.800784,138.785555,浅貝変電所
814,秋田中央変電所,秋田県,一致なし,,,
815,西新潟変電所,新潟県,一致なし,,,
816,西白河変電所,福島県,一致なし,,,
817,錦町変電所,宮城県,一致なし,,,
818,1307変電所,青森県,一致なし,,,
819,1309変電所,青森県,一致なし,,,
820,1905変電所,青森県,一致なし,,,
821,1908変電所,青森県,一致なし,,,
822,1A08変電所,青森県,一致なし,,,
823,2102変電所,岩手県,一致なし,,,
824,2303変電所,岩手県,一致なし,,,
825,2307変電所,岩手県,一致なし,,,
826,2813変電所,岩手県,一致なし,,,
827,2814変電所,岩手県,一致なし,,,
828,3105変電所,秋田県,一致なし,,,
829,3602変電所,秋田県,一致なし,,,
830,3604変電所,秋田県,一致なし,,,
831,3605変電所,秋田県,一致なし,,,
832,3702変電所,秋田県,一致なし,,,
833,3704変電所,秋田県,一致なし,,,
834,3705変電所,秋田県,一致なし,,,
835,3707変電所,秋田県,一致なし,,,
836,3708変電所,秋田県,一致なし,,,
837,3809変電所,秋田県,一致なし,,,
838,4209変電所,宮城県,一致なし,,,
839,4303変電所,宮城県,一致なし,,,
840,4304変電所,宮城県,一致なし,,,
841,4305変電所,宮城県,一致なし,,,
842,4507変電所,宮城県,一致なし,,,
843,4508変電所,宮城県,一致なし,,,
844,4705変電所,宮城県,一致なし,,,
845,4706変電所,宮城県,一致なし,,,
846,4707変電所,宮城県,一致なし,,,
847,4A07変電所,宮城県,一致なし,,,
848,4A09変電所,宮城県,一致なし,,,
849,4A10変電所,宮城県,一致なし,,,
850,5205変電所,山形県,一致なし,,,
851,5206変電所,山形県,一致なし,,,
852,5207変電所,山形県,一致なし,,,
853,5703変電所,山形県,一致なし,,,
854,5907変電所,山形県,一致なし,,,
855,5908変電所,山形県,一致なし,,,
856,5A01変電所,山形県,一致なし,,,
857,6203変電所,福島県,一致なし,,,
858,6812変電所,福島県,一致なし,,,
859,6815変電所,福島県,一致なし,,,
860,6C04変電所,福島県,一致なし,,,
861,6C07変電所,福島県,一致なし,,,
862,6D10変電所,福島県,一致なし,,,
863,6D11変電所,福島県,一致なし,,,
864,6F04変電所,福島県,一致なし,,,
865,6F05変電所,福島県,一致なし,,,
866,6F08変電所,福島県,一致なし,,,
867,7109変電所,新潟県,一致なし,,,
868,7306変電所,新潟県,一致なし,,,
869,7307変電所,新潟県,一致なし,,,
870,7308変電所,新潟県,一致なし,,,
871,7F06変電所,新潟県,一致なし,,,
872,7F07変電所,新潟県,一致なし,,,
873,7F08変電所,新潟県,一致なし,,,
874,7F10変電所,新潟県,一致なし,,,
875,7F13変電所,新潟県,一致なし,,,
876,7H06変電所,新潟県,一致なし,,,
877,7H08変電所,新潟県,一致なし,,,
878,7H20変電所,新潟県,一致なし,,,
879,あかねヶ丘変電所,山形県,一致なし,,,
880,万代変電所,新潟県,一致なし,,,
