# 都道府県は断定していません。隣接地区の設備も図の端に描かれるため、地区図に載ることは所在県の証明になりません（村所=宮崎が熊本の図に載る等）。
No.,変電所名,載っている地区図,候補の都道府県,備考
5800,苓北変電所,２３ 八代、水俣、天草,熊本県,
5801,一ツ瀬変電所,２６ 宮崎,宮崎県,
5802,上椎葉変電所,２５ 日向,宮崎県,
5803,東豊前変電所,１１ 豊前、宇佐、中津、高田,大分県/福岡県,要確認
5804,西佐世保変電所,１９ 武雄、東佐世保,佐賀県/長崎県,要確認
5805,速見変電所,１１ 豊前、宇佐、中津、高田,大分県/福岡県,要確認
5806,塚原変電所,２５ 日向,宮崎県,
5807,大口変電所,２７ 川内、出水,鹿児島県,
5808,大山変電所,１６ 日田,大分県,
5809,大淀第二変電所,（載っていない）,,要確認
5810,末吉変電所,２８ 霧島、都城,宮崎県/鹿児島県,要確認
5811,末広変電所,１５ 大分/１７ 佐伯・竹田,大分県,
5812,港変電所,１４ 大牟田,福岡県,
5813,細野変電所,２８ 霧島、都城,宮崎県/鹿児島県,要確認
5814,西山鹿変電所,１４ 大牟田/２２ 熊本,熊本県/福岡県,要確認
5815,野方変電所,３０ 大隅,鹿児島県,
5816,高原変電所,２８ 霧島、都城,宮崎県/鹿児島県,要確認
5817,えびの変電所,２８ 霧島、都城,宮崎県/鹿児島県,要確認
5818,かなえ台変電所,１１ 豊前、宇佐、中津、高田,大分県/福岡県,要確認
5819,アイランドシティ変電所,５ 古賀,福岡県,
5820,万之瀬変電所,２９ 鹿児島地区,鹿児島県,
5821,三城変電所,２１ 諫早,長崎県,
5822,三芳変電所,１６ 日田,大分県,
5823,上岡変電所,１７ 佐伯・竹田,大分県,
5824,上白水変電所,８ 南福岡/１２ 中央、山家,福岡県,
5825,下筌変電所,１６ 日田,大分県,
5826,中種子変電所,離島,長崎県/鹿児島県,要確認
5827,今宿変電所,９ 赤坂/１０ 伊都,福岡県,
5828,伊倉(6kV)変電所,２２ 熊本,熊本県,
5829,佐々変電所,１９ 武雄、東佐世保,佐賀県/長崎県,要確認
5830,佐世保変電所,１９ 武雄、東佐世保,佐賀県/長崎県,要確認
5831,佐伯変電所,１７ 佐伯・竹田,大分県,
5832,佐志変電所,２７ 川内、出水,鹿児島県,
5833,佐賀関変電所,１５ 大分,大分県,
5834,佐須奈変電所,離島,長崎県/鹿児島県,要確認
5835,健軍変電所,２２ 熊本,熊本県,
5836,元石変電所,１８ 唐津・佐賀,佐賀県,
5837,八女変電所,１３ 久留米・鳥栖/１４ 大牟田,佐賀県/福岡県,要確認
5838,前原変電所,１０ 伊都,福岡県,
5839,加世田変電所,２９ 鹿児島地区,鹿児島県,
5840,加来変電所,１１ 豊前、宇佐、中津、高田,大分県/福岡県,要確認
5841,千代変電所,７ 東福岡/９ 赤坂,福岡県,
5842,原古賀変電所,１３ 久留米・鳥栖,佐賀県/福岡県,要確認
5843,古閑(6kV)変電所,２３ 八代、水俣、天草,熊本県,
5844,吉井変電所,１９ 武雄、東佐世保,佐賀県/長崎県,要確認
5845,名瀬変電所,離島,鹿児島県,
5846,向江変電所,２７ 川内、出水,鹿児島県,
5847,周船寺変電所,１０ 伊都,福岡県,
5848,国分変電所,２８ 霧島、都城,宮崎県/鹿児島県,要確認
5849,堅粕変電所,７ 東福岡/９ 赤坂,福岡県,
5850,塩屋変電所,５ 古賀/２９ 鹿児島地区,福岡県/鹿児島県,要確認
5851,塩田変電所,１９ 武雄、東佐世保,佐賀県/長崎県,要確認
5852,夜明変電所,１２ 中央、山家/１６ 日田,大分県/福岡県,要確認
5853,大久保変電所,（載っていない）,,要確認
5854,大刀洗変電所,１２ 中央、山家,福岡県,
