2026年7月31日更新,,,,,,,,,,,,,,,,
変電所No,変電所名,電圧(一次)(kV),電圧(二次)(kV),台数,設備容量(100%×台数)(MW),運用容量値(MW),運用容量制約要因,予想潮流(MW),空容量(当該設備)(MW),空容量(上位系等考慮)(MW),N-1電制適用可否,N-1電制適用可能量(MW),平常時出力制御の可能性,平常時出力制御の可能性がある設備(当該設備),平常時出力制御の可能性がある設備(上位系設備),備考
1,西当別変電所,275,187,3,1800,1200,熱容量,1177,―,―,不可　♯１,―,―,―,―,※２
3,西野変電所,275,187,3,1800,1200,熱容量,1022,―,―,不可　♯１,―,―,―,―,※２
72,北新得変電所,275,187,2,900,450,熱容量,-503,―,―,不可　♯１,―,有り,対象,"送25,送26,送27,送33,送89",
116,南早来変電所,275,187,2,1200,600,熱容量,638,―,―,不可　♯１,―,有り,対象,"送25,送26,送27,送33",
117,大野変電所,275,187,2,900,450,熱容量,-536,―,―,不可　♯１,―,有り,対象,"送25,送26,送27,送33,送45,送52,送53,送54,送55",
201,西名寄変電所,187,100,2,200,100,熱容量,-233,―,―,不可　♯３、♯５,―,有り,対象,"送63,送68,送69",
202,西旭川変電所,187,66,3,300,195,熱容量,43,―,―,可,100,有り,―,"送68,送69",※２
203,旭川変電所,187,66,2,300,150,熱容量,-60,―,―,可,100,有り,―,"送68,送69",
204,留辺蘂変電所,187,66,3,300,198,熱容量,-331,―,―,可,0,有り,対象,"送25,送26,送27,送33,送89,送110,送115,変72",※２
205,女満別変電所,187,66,2,200,100,熱容量,-171,―,―,可,29,有り,対象,"送25,送26,送27,送33,送89,送110,送115,変72",
206,南九条変電所,187,66,3,450,299,熱容量,121,―,―,可,100,―,―,―,※２
207,西札幌変電所,187,66,4,800,575,熱容量,-486,―,―,可,100,―,―,―,
208,苗穂変電所,187,66,3,600,398,熱容量,81,―,―,可,100,―,―,―,※２
209,篠路変電所,187,66,2,400,200,熱容量,82,―,―,可,100,―,―,―,
210,南札幌変電所,187,66,3,600,389,熱容量,10,―,―,可,100,―,―,―,※２
211,恵庭変電所,187,66,3,500,299,熱容量,-249,―,―,可,100,―,―,―,※２
212,西小樽変電所,187,66,3,350,198,熱容量,-173,―,―,可,100,―,―,―,※２
213,北江別変電所,187,66,3,350,197,熱容量,-260,―,―,可,90,有り,対象,―,※２
214,西滝川変電所,187,66,2,300,150,熱容量,-357,―,―,可,0,有り,対象,"送68,送69",
215,宇円別変電所,187,66,3,275,153,熱容量,-430,―,―,可,0,有り,対象,"送25,送26,送27,送33,送89,送110,送115,変72",※２
216,東釧路変電所,187,66,3,300,198,熱容量,-475,―,―,可,0,有り,対象,"送25,送26,送27,送33,送89,送110,送115,変72",※２
217,西春別変電所,187,66,2,200,100,熱容量,-293,―,―,可,0,有り,対象,"送25,送26,送27,送33,送89,送110,送115,変72",
218,北芽室変電所,187,66,3,310,158,熱容量,-185,―,―,可,100,有り,対象,"送25,送26,送27,送33,送89,変72",※２
219,西音更変電所,187,66,3,300,199,熱容量,-194,―,―,可,100,有り,―,"送25,送26,送27,送33,送89,変72",※２
220,西伊達変電所,187,66,1,60,60,熱容量,-126,―,―,不可　♯２,―,有り,対象,"送25,送26,送27,送33",※１
221,室蘭変電所,187,66,2,300,150,熱容量,-268,―,―,可,32,有り,対象,"送25,送26,送27,送33",
222,苫小牧変電所,187,66,3,350,199,熱容量,-305,―,―,可,45,有り,対象,"送25,送26,送27,送33",※２
223,南早来変電所,187,66,2,400,200,熱容量,-319,―,―,不可　♯１、♯５,―,有り,対象,"送25,送26,送27,送33",
224,東苫小牧変電所,187,66,2,200,100,熱容量,-108,―,―,不可　♯１,―,有り,対象,"送25,送26,送27,送33",
225,北静内変電所,187,66,2,120,60,熱容量,-152,―,―,不可　♯５,―,有り,対象,"送25,送26,送27,送33,送89,変72",
226,北七飯変電所,187,66,3,300,195,熱容量,-185,―,―,不可　♯１,―,有り,―,"送25,送26,送27,送33,送45,送52,送53,送54,送55,変117",※２
227,大野変電所,187,66,3,300,191,熱容量,-176,―,―,不可　♯１,―,有り,―,"送25,送26,送27,送33,送45,送52,送53,送54,送55,変117",※２
228,西中川変電所,187,66,2,200,100,熱容量,-160,―,―,不可　♯３、♯５,―,有り,対象,"送63,送64,送68,送69",
229,他社変電所,187,66,3,495,330,熱容量,-300,―,―,可,100,有り,―,"送63,送64,送68,送69",※２
230,富村変電所,187,11,1,―,―,熱容量,―,―,―,―,―,有り,―,"送25,送26,送27,送33,送89,変72",◇
