2026年7月31日更新,,,,,,,,,,,,,,,,
変電所No,変電所名,電圧(一次)(kV),電圧(二次)(kV),台数,設備容量(100%×台数)(MW),運用容量値(MW),運用容量制約要因,予想潮流(MW),空容量(当該設備)(MW),空容量(上位系等考慮)(MW),N-1電制適用可否,N-1電制適用可能量(MW),平常時出力制御の可能性,平常時出力制御の可能性がある設備(当該設備),平常時出力制御の可能性がある設備(上位系設備),備考
4,幌延変電所,100,33,1,30,30,熱容量,-22,―,―,不可　♯２,―,有り,―,"A,送2,送3",※１
4,幌延変電所,100,6.6,1,6,6,熱容量,―,6,0,不可　♯３,―,有り,―,"A,送2,送3",※１
7,声問変電所,100,6.6,1,15,15,熱容量,―,15,0,不可　♯３,―,有り,―,"A,送2,送3,送5,送8,送9",※１
11,稚内西変電所,100,33,1,15,15,熱容量,-5,―,―,不可　♯２,―,有り,―,"A,送2,送3,送5,送8",※１
11,稚内西変電所,100,6.6,1,15,15,熱容量,―,8,0,不可　♯３,―,有り,―,"A,送2,送3,送5,送8",※１
12,稚内変電所,100,6.6,2,30,15,熱容量,―,15,0,不可　♯３,―,有り,―,"A,送2,送3,送5,送8,送9",
14,天塩変電所,33,6.6,1,6,6,熱容量,―,6,0,不可　♯３,―,有り,―,"A,送2,送3",※１
18,遠別変電所,33,6.6,1,6,6,熱容量,―,6,0,不可　♯３,―,有り,―,"A,送2,送3,送15",※１
21,豊富変電所,33,6.6,1,10,10,熱容量,―,10,0,不可　♯３,―,有り,―,"A,送2,送3",※１
25,芦川変電所,33,6.6,1,6,4,熱容量,―,3,0,不可　♯３,―,有り,―,"A,送2,送3,送5,送8",※１
27,曲渕変電所,33,6.6,1,2,2,熱容量,―,2,0,不可　♯３,―,有り,―,"A,送2,送3,送5,送8",※１
34,咲来変電所,100,6.6,1,2,2,熱容量,―,2,0,不可　♯３,―,有り,―,"B,送32,送33",※１
36,中川変電所,100,6.6,1,6,6,熱容量,―,6,0,不可　♯３,―,有り,―,"B,送32,送33,送35",※１
38,小頓別変電所,100,66,1,30,30,熱容量,-6,―,―,不可　♯２,―,有り,―,"B,送32,送33,送35,送37",※１
38,小頓別変電所,66,6.6,1,3,3,熱容量,―,3,0,不可　♯３,―,有り,―,"B,送32,送33,送35,送37",※１
40,中頓別変電所,66,6.6,1,6,6,熱容量,―,5,0,不可　♯３,―,有り,―,"B,送32,送33,送35,送37",※１
42,浜頓別変電所,66,33,1,10,10,熱容量,0,―,―,不可　♯２,―,有り,―,"B,送32,送33,送35,送37",※１
42,浜頓別変電所,66,6.6,2,12,6,熱容量,―,1,0,不可　♯３,―,有り,―,"B,送32,送33,送35,送37",
44,猿払変電所,33,6.6,1,6,6,熱容量,―,6,0,不可　♯３,―,有り,―,"B,送32,送33,送35,送37",※１
48,歌登変電所,66,6.6,1,3,3,熱容量,―,3,0,不可　♯３,―,有り,―,"B,送32,送33,送35,送37",※１
50,枝幸変電所,66,6.6,2,12,6,熱容量,―,6,0,不可　♯３,―,有り,―,"B,送32,送33,送35,送37",
52,美深変電所,100,6.6,1,10,10,熱容量,―,9,0,不可　♯３,―,有り,―,"B,送32",※１
54,名寄変電所,100,22,1,3,3,熱容量,0,―,―,不可　♯２,―,有り,―,"B,送53",※１
54,名寄変電所,100,6.6,3,40,25,熱容量,―,10,0,不可　♯３,―,有り,―,"B,送53",※２
56,雨竜変電所,100,66,2,64,32,熱容量,-74,―,―,不可　♯４,―,有り,対象,"B,送53,送55",
56,雨竜変電所,66,6.6,1,1,1,熱容量,―,1,0,不可　♯３,―,有り,―,"B,送53,送55",※１
56,雨竜変電所,6.6,22,1,0.3,0.3,熱容量,―,0,0,不可　♯２,―,有り,―,"B,送53,送55",※１
61,上士別変電所,100,6.6,1,6,6,熱容量,―,6,0,不可　♯３,―,有り,―,"B,送53,送55,送57",※１
68,士別変電所,66,6.6,2,30,15,熱容量,―,15,0,不可　♯３,―,有り,―,"B,送53,送55,変56(100/66kV)",
70,剣淵変電所,66,6.6,2,12,6,熱容量,―,4,0,不可　♯３,―,有り,―,"B,送53,送55,変56(100/66kV)",
72,幌加内変電所,66,6.6,1,6,6,熱容量,―,6,0,不可　♯３,―,有り,―,"B,送53,送55,変56(100/66kV)",※１
74,蔭の沢変電塔,22,6.6,1,0.3,0.3,熱容量,―,0,0,不可　♯３,―,有り,―,"B,送53,送55,変56(100/66kV)",※１
76,朱鞠内変電所,66,33,1,―,―,熱容量,―,―,―,不可　♯２,―,有り,―,"B,送53,送55,送75,変56(100/66kV)",◇
76,朱鞠内変電所,66,6.6,1,6,6,熱容量,―,6,0,不可　♯３,―,有り,―,"B,送53,送55,送75,変56(100/66kV)",※１
81,羽幌変電所,66,6.6,2,12,6,熱容量,―,5,0,不可　♯３,―,有り,―,"B,送53,送55,送75,送80,変56(100/66kV)",
83,苫前変電所,66,6.6,1,6,6,熱容量,―,4,0,不可　♯３,―,有り,―,"B,送53,送55,送75,送80,送82,変56(100/66kV)",※１
88,下川変電所,100,22,1,10,10,熱容量,0,―,―,不可　♯２,―,有り,―,"B,送53",※１
88,下川変電所,100,6.6,1,10,10,熱容量,―,8,0,不可　♯３,―,有り,―,"B,送53",※１
90,上興部変電所,22,6.6,1,3,3,熱容量,―,2,0,不可　♯３,―,有り,―,"B,送53",※１
93,智恵文変電所,22,6.6,1,3,3,熱容量,―,3,0,不可　♯３,―,有り,―,"B,送53",※１
