No.,変電所名,照合結果,記入した列,既存値との差異(未上書き),CSV/バンク
1,今別変換所,一致なし,,,
2,北斗変換所,一致なし,,,
3,北新得変電所,一致(275/187kV),flow,,sys_capa_kikan01_Tr_202607_01.csv
4,北海道電力(株) 大野変電所,一致(275/187kV),"vsec,cap,opcap,flow,n1,curtail",,sys_capa_kikan01_Tr_202607_01.csv
5,南早来変電所①,一致(275/187kV),flow,,sys_capa_kikan01_Tr_202607_01.csv
6,大野変電所①,一致(275/187kV),flow,,sys_capa_kikan01_Tr_202607_01.csv
7,泊変電所,一致なし,,,
8,石狩湾新港発電所,一致なし,,,
9,西双葉開閉所,一致なし,,,
10,西当別変電所,一致(275/187kV),flow,,sys_capa_kikan01_Tr_202607_01.csv
11,西野変電所,一致(275/187kV),flow,,sys_capa_kikan01_Tr_202607_01.csv
12,吉岡ケーブルヘッド,一致なし,,,
13,竜飛ケーブルヘッド,一致なし,,,
14,七飯発電所,一致なし,,,
15,北七飯変電所,一致(187/66kV),flow,,sys_capa_kikan01_Tr_202607_01.csv
16,北江別変電所,一致(187/66kV),flow,,sys_capa_kikan01_Tr_202607_01.csv
17,北海道北部風力送電㈱ 北豊富変電所,一致なし,,,
18,北海道電力 総合研究所,一致なし,,,
19,北芽室変電所,一致(187/66kV),flow,,sys_capa_kikan01_Tr_202607_01.csv
20,北静内変電所,一致(187/66kV),flow,,sys_capa_kikan01_Tr_202607_01.csv
21,南九条変電所,一致(187/66kV),flow,,sys_capa_kikan01_Tr_202607_01.csv
22,南札幌変電所,一致(187/66kV),flow,,sys_capa_kikan01_Tr_202607_01.csv
23,双葉開閉所,一致なし,,,
24,女満別変電所,一致(187/66kV),flow,,sys_capa_kikan01_Tr_202607_01.csv
25,宇円別変電所,一致(187/66kV),flow,,sys_capa_kikan01_Tr_202607_01.csv
26,室蘭変電所,一致(187/66kV),flow,,sys_capa_kikan01_Tr_202607_01.csv
27,岩清水開閉所,一致なし,,,
28,恵庭変電所,一致(187/66kV),flow,,sys_capa_kikan01_Tr_202607_01.csv
29,新冠開閉所,一致なし,,,
30,旭川変電所,一致(187/66kV),flow,,sys_capa_kikan01_Tr_202607_01.csv
31,旭川嵐山開閉所,一致なし,,,
32,東苫小牧変電所,一致(187/66kV),flow,,sys_capa_kikan01_Tr_202607_01.csv
33,東釧路変電所,一致(187/66kV),flow,,sys_capa_kikan01_Tr_202607_01.csv
34,留辺蘂変電所,一致(187/66kV),flow,,sys_capa_kikan01_Tr_202607_01.csv
35,篠路変電所,一致(187/66kV),flow,,sys_capa_kikan01_Tr_202607_01.csv
36,苗穂変電所,一致(187/66kV),flow,,sys_capa_kikan01_Tr_202607_01.csv
37,苫小牧変電所,一致(187/66kV),flow,,sys_capa_kikan01_Tr_202607_01.csv
38,西中川変電所,一致(187/66kV),flow,vsec: 既存100→CSV66,sys_capa_kikan01_Tr_202607_01.csv
39,西伊達変電所,一致(187/66kV),flow,,sys_capa_kikan01_Tr_202607_01.csv
40,西名寄変電所,一致(187/100kV),flow,vsec: 既存66→CSV100,sys_capa_kikan01_Tr_202607_01.csv
41,西室蘭開閉所,一致なし,,,
42,西小樽変電所,一致(187/66kV),flow,cap: 既存300→CSV350,sys_capa_kikan01_Tr_202607_01.csv
43,西旭川変電所,一致(187/66kV),flow,,sys_capa_kikan01_Tr_202607_01.csv
44,西春別変電所,一致(187/66kV),flow,,sys_capa_kikan01_Tr_202607_01.csv
45,西札幌変電所,一致(187/66kV),flow,cap: 既存600→CSV800; opcap: 既存391→CSV575,sys_capa_kikan01_Tr_202607_01.csv
46,西滝川変電所,一致(187/66kV),flow,,sys_capa_kikan01_Tr_202607_01.csv
47,西音更変電所,一致(187/66kV),flow,,sys_capa_kikan01_Tr_202607_01.csv
48,電源開発株式会社北地域制御所,一致なし,,,
49,愛別変電所,一致(110/6.6kV),"vsec,cap,opcap,flow,n1,curtail",,sys_capa_local03_Tr_202607_01.csv
50,中川変電所,一致(100/6.6kV),"vsec,cap,opcap,avail,avail_up,n1,curtail",,sys_capa_local01_Tr_202607_01.csv
51,名寄変電所,候補2件で特定不可,,,100/22; 100/6.6
52,咲来変電所,一致(100/6.6kV),"vsec,cap,opcap,avail,avail_up,n1,curtail",,sys_capa_local01_Tr_202607_01.csv
53,声問変電所,一致(100/6.6kV),"vsec,cap,opcap,avail,avail_up,n1,curtail",,sys_capa_local01_Tr_202607_01.csv
